,date,id,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao,local,lon,lat
110,2023-03-09T14:00,6212121,18.0,14.0,2283.6,7.0,0.0,5.0,90.0,1012.7,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
111,2023-03-08T22:00,6212121,10.8,13.0,7.2,7.0,0.0,3.0,93.0,1010.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
112,2023-03-09T16:00,6212121,20.9,13.2,349.2,7.0,0.1,5.8,80.0,1013.2,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
113,2023-03-09T09:00,6212121,23.4,11.8,103.8,6.0,4.2,6.5,94.0,1008.5,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
114,2023-03-09T13:00,6212121,14.4,10.9,657.6,7.0,0.4,4.0,99.0,1012.3,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
115,2023-03-09T17:00,6212121,16.6,13.1,360.6,7.0,0.1,4.6,82.0,1014.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
116,2023-03-08T21:00,6212121,11.5,13.0,7.2,7.0,0.0,3.2,94.0,1010.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
117,2023-03-09T11:00,6212121,3.2,9.4,222.6,7.0,4.1,0.9,97.0,1011.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
118,2023-03-09T06:00,6212121,13.0,11.8,6.0,6.0,0.0,3.6,93.0,1009.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
119,2023-03-09T03:00,6212121,13.3,12.3,6.6,7.0,0.0,3.7,91.0,1009.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
120,2023-03-09T01:00,6212122,6.5,13.9,3.6,5.0,0.0,1.8,93.0,1011.1,Amares Caldelas (CIM),-8.37977778,41.66796389
121,2023-03-09T07:00,6212122,9.4,13.2,3.6,6.0,0.0,2.6,90.0,1011.0,Amares Caldelas (CIM),-8.37977778,41.66796389
122,2023-03-08T23:00,6212122,6.8,14.2,3.6,6.0,0.0,1.9,94.0,1011.6,Amares Caldelas (CIM),-8.37977778,41.66796389
123,2023-03-08T19:00,6212122,9.7,14.7,15.0,5.0,0.0,2.7,95.0,1010.8,Amares Caldelas (CIM),-8.37977778,41.66796389
124,2023-03-09T05:00,6212122,10.1,13.0,3.6,5.0,0.0,2.8,96.0,1010.8,Amares Caldelas (CIM),-8.37977778,41.66796389
125,2023-03-09T00:00,6212122,6.5,14.1,3.6,6.0,0.0,1.8,93.0,1011.4,Amares Caldelas (CIM),-8.37977778,41.66796389
126,2023-03-09T04:00,6212122,5.8,13.2,3.6,6.0,0.6,1.6,95.0,1010.8,Amares Caldelas (CIM),-8.37977778,41.66796389
127,2023-03-08T20:00,6212122,7.2,14.4,3.6,5.0,0.3,2.0,94.0,1011.3,Amares Caldelas (CIM),-8.37977778,41.66796389
128,2023-03-09T02:00,6212122,5.8,13.9,3.6,5.0,0.0,1.6,91.0,1011.1,Amares Caldelas (CIM),-8.37977778,41.66796389
129,2023-03-09T18:00,6212122,6.5,14.1,153.6,5.0,0.7,1.8,88.0,1016.4,Amares Caldelas (CIM),-8.37977778,41.66796389
130,2023-03-09T08:00,6212122,12.6,13.5,30.0,6.0,0.0,3.5,89.0,1011.1,Amares Caldelas (CIM),-8.37977778,41.66796389
131,2023-03-09T15:00,6212122,13.7,16.3,1666.2,7.0,0.0,3.8,79.0,1015.1,Amares Caldelas (CIM),-8.37977778,41.66796389
132,2023-03-09T10:00,6212122,9.0,10.2,25.8,4.0,12.0,2.5,94.0,1012.3,Amares Caldelas (CIM),-8.37977778,41.66796389
133,2023-03-09T12:00,6212122,1.8,11.0,585.6,4.0,0.1,0.5,98.0,1013.7,Amares Caldelas (CIM),-8.37977778,41.66796389
